"","Region","Ethnicity","Religion","Highest.education.qualification","Frequency.of.all.media.combined","Working.status","Welth.index","Right","Wrong","Total"
"95","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Fourth",0,1,1
"96","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Highest",1,1,2
"97","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Lowest",1,0,1
"98","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Middle",2,0,2
"99","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Lowest",0,1,1
"100","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Middle",2,0,2
"101","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","No","Highest",1,0,1
"102","Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Lowest",2,1,3
"103","Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Middle",5,1,6
"104","Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Second",4,0,4
"105","Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Fourth",2,0,2
"106","Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Lowest",3,1,4
"107","Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Middle",5,0,5
"108","Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Second",2,0,2
"109","Central","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","No","Lowest",2,0,2
"110","Central","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","No","Second",0,1,1
"111","Central","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","Yes","Fourth",1,0,1
"112","Central","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","Yes","Lowest",3,0,3
"113","Central","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","Yes","Middle",1,0,1
"114","Central","Sinhala","Buddhist","Passed Grade 1-5","Not at all","No","Lowest",1,1,2
"115","Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Fourth",57,18,75
"116","Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Highest",41,7,48
"117","Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Lowest",34,6,40
"118","Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Middle",78,11,89
"119","Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Second",57,14,71
"120","Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Fourth",22,2,24
"121","Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Highest",12,1,13
"122","Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Lowest",15,3,18
"123","Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Middle",31,9,40
"124","Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Second",31,4,35
"125","Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Fourth",3,2,5
"126","Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Highest",2,0,2
"127","Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Lowest",3,1,4
"128","Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Middle",4,0,4
"129","Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Second",4,0,4
"130","Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Fourth",0,1,1
"131","Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Lowest",2,0,2
"132","Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Middle",2,0,2
"133","Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Second",1,0,1
"134","Central","Sinhala","Buddhist","Passed Grade 6-10","Not at all","No","Fourth",1,1,2
"135","Central","Sinhala","Buddhist","Passed Grade 6-10","Not at all","No","Lowest",0,1,1
"136","Central","Sinhala","Buddhist","Passed Grade 6-10","Not at all","No","Middle",0,1,1
"137","Central","Sinhala","Buddhist","Passed Grade 6-10","Not at all","No","Second",1,0,1
"138","Central","Sinhala","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",1,0,1
"139","Central","Sinhala","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",1,0,1
"140","Central","Sinhala","Hindu","Passed Grade 6-10","At least once a week","Yes","Fourth",1,0,1
"141","Central","Sinhala","Islam","Passed Grade 6-10","At least once a week","No","Highest",1,0,1
"142","Central","Sinhala","Islam","Passed Grade 6-10","At least once a week","No","Lowest",1,0,1
"143","Central","Sinhala","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",0,1,1
"144","Central","Sinhala","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",1,0,1
"145","Central","Sinhala","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",2,0,2
"146","Central","Sinhala","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Fourth",1,0,1
"147","Central","Sinhala","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Highest",1,0,1
"148","Central","Sinhala","Other Christian","Passed Grade 1-5","Less than once a week","No","Second",1,0,1
"149","Central","Sinhala","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",5,0,5
"150","Central","Sinhala","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",1,0,1
"151","Central","Sinhala","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",1,0,1
"152","Central","Sinhala","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",3,0,3
"153","Central","Sinhala","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",2,0,2
"154","Central","Sinhala","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",1,0,1
"155","Central","Sinhala","Roman Catholic","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Fourth",1,0,1
"156","Central","Sinhala","Roman Catholic","Passed Grade 6-10","At least once a week","No","Middle",1,0,1
"157","Central","Sri Lanka Moor/Muslim","Buddhist","Passed Grade 6-10","At least once a week","No","Fourth",1,0,1
"158","Central","Sri Lanka Moor/Muslim","Islam","Degree and above","At least once a week","No","Highest",1,1,2
"159","Central","Sri Lanka Moor/Muslim","Islam","Degree and above","At least once a week","Yes","Fourth",1,0,1
"160","Central","Sri Lanka Moor/Muslim","Islam","Degree and above","At least once a week","Yes","Highest",3,2,5
"161","Central","Sri Lanka Moor/Muslim","Islam","No education","At least once a week","No","Fourth",1,0,1
"162","Central","Sri Lanka Moor/Muslim","Islam","No education","At least once a week","No","Lowest",1,0,1
"163","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",4,2,6
"164","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",19,3,22
"165","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",1,1,2
"166","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",1,0,1
"167","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",1,1,2
"168","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",4,0,4
"169","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Fourth",1,1,2
"170","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Highest",2,0,2
"171","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Middle",1,0,1
"172","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","Not at all","No","Fourth",1,0,1
"173","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","Not at all","No","Highest",1,0,1
"174","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","Not at all","No","Middle",1,0,1
"175","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","Not at all","No","Second",1,0,1
"176","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",5,4,9
"177","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",15,2,17
"178","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",3,0,3
"179","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",5,0,5
"180","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Highest",2,0,2
"181","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Second",1,0,1
"182","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Fourth",0,1,1
"183","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Middle",0,1,1
"184","Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Fourth",1,0,1
"185","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 1-5","At least once a week","No","Highest",1,0,1
"186","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 1-5","At least once a week","No","Second",2,0,2
"187","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 1-5","At least once a week","Yes","Highest",0,1,1
"188","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 1-5","Less than once a week","No","Middle",1,0,1
"189","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 1-5","Less than once a week","Yes","Middle",0,1,1
"190","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","No","Fourth",8,1,9
"191","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","No","Highest",8,4,12
"192","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","No","Lowest",2,1,3
"193","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","No","Middle",4,2,6
"194","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","No","Second",4,4,8
"195","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","Yes","Fourth",1,1,2
"196","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","Yes","Highest",2,0,2
"197","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","Yes","Lowest",2,0,2
"198","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","Yes","Second",1,0,1
"199","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","Less than once a week","No","Fourth",3,0,3
"200","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","Less than once a week","No","Highest",2,0,2
"201","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","Less than once a week","No","Second",1,0,1
"202","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","Not at all","No","Middle",2,0,2
"203","Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","Not at all","No","Second",1,0,1
"204","Central","Sri Lanka Moor/Muslim","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",1,0,1
"205","Central","Sri Lanka Moor/Muslim","Roman Catholic","Passed Grade 6-10","At least once a week","No","Middle",0,1,1
"206","Central","Sri Lanka Tamil","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",0,1,1
"207","Central","Sri Lanka Tamil","Buddhist","Passed Grade 6-10","At least once a week","Yes","Fourth",1,0,1
"208","Central","Sri Lanka Tamil","Hindu","Degree and above","At least once a week","No","Highest",1,0,1
"209","Central","Sri Lanka Tamil","Hindu","Degree and above","At least once a week","Yes","Fourth",1,0,1
"210","Central","Sri Lanka Tamil","Hindu","Degree and above","At least once a week","Yes","Highest",1,0,1
"211","Central","Sri Lanka Tamil","Hindu","No education","At least once a week","No","Second",1,0,1
"212","Central","Sri Lanka Tamil","Hindu","No education","At least once a week","Yes","Lowest",2,0,2
"213","Central","Sri Lanka Tamil","Hindu","No education","Not at all","Yes","Lowest",1,0,1
"214","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",3,1,4
"215","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",1,2,3
"216","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Lowest",1,0,1
"217","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",2,0,2
"218","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",1,0,1
"219","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",1,1,2
"220","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",3,0,3
"221","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Lowest",1,0,1
"222","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Middle",3,0,3
"223","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Second",2,0,2
"224","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",0,1,1
"225","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",5,1,6
"226","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Lowest",1,2,3
"227","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",4,0,4
"228","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",3,3,6
"229","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Fourth",0,1,1
"230","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Highest",4,0,4
"231","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Lowest",0,2,2
"232","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Middle",1,0,1
"233","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Second",3,0,3
"234","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Lowest",2,0,2
"235","Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Not at all","Yes","Lowest",1,0,1
"236","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Highest",1,0,1
"237","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Lowest",1,2,3
"238","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Middle",1,0,1
"239","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Second",3,2,5
"240","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Fourth",1,0,1
"241","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Highest",2,0,2
"242","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Lowest",2,2,4
"243","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Middle",1,0,1
"244","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Second",2,0,2
"245","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Less than once a week","No","Lowest",1,0,1
"246","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Less than once a week","Yes","Lowest",2,0,2
"247","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Less than once a week","Yes","Middle",1,0,1
"248","Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Not at all","No","Lowest",1,1,2
"249","Central","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Fourth",2,3,5
"250","Central","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Highest",2,1,3
"251","Central","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Lowest",20,5,25
"252","Central","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Middle",4,4,8
"253","Central","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Second",9,5,14
"254","Central","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Fourth",2,0,2
"255","Central","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Lowest",5,1,6
